YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 1022 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1035 code=U+00A4 char='¤'          addr=0x229DD CP932=UNENCODABLE
index= 1036 code=U+00AC char='¬'          addr=0x24D66 CP932=81 ca
index= 1038 code=U+00BC char='¼'          addr=0x27B72 CP932=UNENCODABLE
index= 1039 code=U+00C4 char='Ä'          addr=0x2B6FA CP932=UNENCODABLE
index= 1040 code=U+00CC char='Ì'          addr=0x2F548 CP932=UNENCODABLE
index= 1041 code=U+00D4 char='Ô'          addr=0x327CE CP932=UNENCODABLE
index= 1042 code=U+00DC char='Ü'          addr=0x366CF CP932=UNENCODABLE
index= 1043 code=U+00E4 char='ä'          addr=0x3942F CP932=UNENCODABLE
index= 1044 code=U+00EC char='ì'          addr=0x3BA49 CP932=UNENCODABLE
index= 1045 code=U+00F4 char='ô'          addr=0x3DA7B CP932=UNENCODABLE
index= 1046 code=U+00FC char='ü'          addr=0x403B6 CP932=UNENCODABLE
index= 1047 code=U+0106 char='Ć'          addr=0x43687 CP932=UNENCODABLE
index= 1048 code=U+0118 char='Ę'          addr=0x467BE CP932=UNENCODABLE
index= 1049 code=U+0129 char='ĩ'          addr=0x49BB8 CP932=UNENCODABLE
index= 1050 code=U+0134 char='Ĵ'          addr=0x4B58A CP932=UNENCODABLE
index= 1051 code=U+0141 char='Ł'          addr=0x4E084 CP932=UNENCODABLE
index= 1052 code=U+0152 char='Œ'          addr=0x50FBF CP932=UNENCODABLE
index= 1053 code=U+015B char='ś'          addr=0x54551 CP932=UNENCODABLE
index= 1054 code=U+0173 char='ų'          addr=0x57495 CP932=UNENCODABLE
