YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 4148 code=U+00AB char='«'          addr=0x24544 CP932=UNENCODABLE
index= 4149 code=U+00AD char='\xad'       addr=0x24FFC CP932=UNENCODABLE
index= 4150 code=U+00AF char='¯'          addr=0x257B6 CP932=UNENCODABLE
index= 4152 code=U+00B3 char='³'          addr=0x2631E CP932=UNENCODABLE
index= 4153 code=U+00B5 char='µ'          addr=0x26520 CP932=UNENCODABLE
index= 4154 code=U+00B7 char='·'          addr=0x2702B CP932=UNENCODABLE
index= 4155 code=U+00B9 char='¹'          addr=0x2711B CP932=UNENCODABLE
index= 4156 code=U+00BB char='»'          addr=0x27350 CP932=UNENCODABLE
index= 4157 code=U+00BD char='½'          addr=0x2811F CP932=UNENCODABLE
index= 4158 code=U+00BF char='¿'          addr=0x28C79 CP932=UNENCODABLE
index= 4159 code=U+00C1 char='Á'          addr=0x29AB7 CP932=UNENCODABLE
index= 4160 code=U+00C3 char='Ã'          addr=0x2AD98 CP932=UNENCODABLE
index= 4161 code=U+00C5 char='Å'          addr=0x2C003 CP932=UNENCODABLE
index= 4162 code=U+00C7 char='Ç'          addr=0x2D0F5 CP932=UNENCODABLE
index= 4163 code=U+00C9 char='É'          addr=0x2E06E CP932=UNENCODABLE
index= 4164 code=U+00CB char='Ë'          addr=0x2EE88 CP932=UNENCODABLE
index= 4165 code=U+00CD char='Í'          addr=0x2F92C CP932=UNENCODABLE
index= 4166 code=U+00CF char='Ï'          addr=0x302CE CP932=UNENCODABLE
index= 4167 code=U+00D1 char='Ñ'          addr=0x30E67 CP932=UNENCODABLE
index= 4168 code=U+00D3 char='Ó'          addr=0x31F01 CP932=UNENCODABLE
index= 4169 code=U+00D5 char='Õ'          addr=0x33080 CP932=UNENCODABLE
index= 4171 code=U+00D9 char='Ù'          addr=0x34E73 CP932=UNENCODABLE
index= 4172 code=U+00DB char='Û'          addr=0x35EC1 CP932=UNENCODABLE
index= 4173 code=U+00DD char='Ý'          addr=0x36E92 CP932=UNENCODABLE
index= 4174 code=U+00DF char='ß'          addr=0x37D0F CP932=UNENCODABLE
index= 4175 code=U+00E1 char='á'          addr=0x387A7 CP932=UNENCODABLE
index= 4176 code=U+00E3 char='ã'          addr=0x38F7D CP932=UNENCODABLE
index= 4177 code=U+00E5 char='å'          addr=0x398A6 CP932=UNENCODABLE
index= 4178 code=U+00E7 char='ç'          addr=0x3A2ED CP932=UNENCODABLE
index= 4179 code=U+00E9 char='é'          addr=0x3AC29 CP932=UNENCODABLE
index= 4180 code=U+00EB char='ë'          addr=0x3B5B5 CP932=UNENCODABLE
index= 4181 code=U+00ED char='í'          addr=0x3BCFC CP932=UNENCODABLE
index= 4182 code=U+00EF char='ï'          addr=0x3C3E1 CP932=UNENCODABLE
index= 4183 code=U+00F1 char='ñ'          addr=0x3CC1E CP932=UNENCODABLE
index= 4184 code=U+00F3 char='ó'          addr=0x3D583 CP932=UNENCODABLE
index= 4185 code=U+00F5 char='õ'          addr=0x3DF88 CP932=UNENCODABLE
index= 4187 code=U+00F9 char='ù'          addr=0x3F623 CP932=UNENCODABLE
index= 4188 code=U+00FB char='û'          addr=0x3FF23 CP932=UNENCODABLE
index= 4189 code=U+00FD char='ý'          addr=0x40810 CP932=UNENCODABLE
index= 4190 code=U+00FF char='ÿ'          addr=0x41498 CP932=UNENCODABLE
index= 4191 code=U+0101 char='ā'          addr=0x423B0 CP932=UNENCODABLE
index= 4192 code=U+0105 char='ą'          addr=0x43157 CP932=UNENCODABLE
index= 4193 code=U+0107 char='ć'          addr=0x43F54 CP932=UNENCODABLE
index= 4194 code=U+010D char='č'          addr=0x44CC2 CP932=UNENCODABLE
index= 4195 code=U+0113 char='ē'          addr=0x45826 CP932=UNENCODABLE
index= 4196 code=U+0117 char='ė'          addr=0x4632A CP932=UNENCODABLE
index= 4197 code=U+0119 char='ę'          addr=0x46E7E CP932=UNENCODABLE
index= 4198 code=U+011F char='ğ'          addr=0x47B4A CP932=UNENCODABLE
index= 4199 code=U+0123 char='ģ'          addr=0x4893B CP932=UNENCODABLE
index= 4200 code=U+0128 char='Ĩ'          addr=0x4952F CP932=UNENCODABLE
index= 4201 code=U+012A char='Ī'          addr=0x49FDE CP932=UNENCODABLE
index= 4202 code=U+012E char='Į'          addr=0x4A785 CP932=UNENCODABLE
index= 4203 code=U+0130 char='İ'          addr=0x4AD6A CP932=UNENCODABLE
index= 4204 code=U+0133 char='ĳ'          addr=0x4B161 CP932=UNENCODABLE
index= 4205 code=U+0135 char='ĵ'          addr=0x4BC79 CP932=UNENCODABLE
index= 4206 code=U+0137 char='ķ'          addr=0x4CA10 CP932=UNENCODABLE
index= 4207 code=U+013B char='Ļ'          addr=0x4D374 CP932=UNENCODABLE
index= 4208 code=U+0140 char='ŀ'          addr=0x4DD6C CP932=UNENCODABLE
index= 4209 code=U+0142 char='ł'          addr=0x4E72A CP932=UNENCODABLE
index= 4210 code=U+0144 char='ń'          addr=0x4F2CA CP932=UNENCODABLE
index= 4211 code=U+0146 char='ņ'          addr=0x4FED3 CP932=UNENCODABLE
index= 4212 code=U+014D char='ō'          addr=0x50B45 CP932=UNENCODABLE
index= 4213 code=U+0153 char='œ'          addr=0x517A8 CP932=UNENCODABLE
index= 4214 code=U+0156 char='Ŗ'          addr=0x52552 CP932=UNENCODABLE
index= 4215 code=U+0158 char='Ř'          addr=0x530AB CP932=UNENCODABLE
index= 4216 code=U+015A char='Ś'          addr=0x53D53 CP932=UNENCODABLE
index= 4217 code=U+015E char='Ş'          addr=0x54995 CP932=UNENCODABLE
index= 4218 code=U+0160 char='Š'          addr=0x5553F CP932=UNENCODABLE
index= 4219 code=U+016A char='Ū'          addr=0x56199 CP932=UNENCODABLE
index= 4220 code=U+0172 char='Ų'          addr=0x56D12 CP932=UNENCODABLE
index= 4221 code=U+0178 char='Ÿ'          addr=0x57955 CP932=UNENCODABLE
index= 4222 code=U+017A char='ź'          addr=0x5897E CP932=UNENCODABLE
index= 4223 code=U+017C char='ż'          addr=0x59547 CP932=UNENCODABLE
index= 4224 code=U+017E char='ž'          addr=0x5A132 CP932=UNENCODABLE
index= 4250 code=U+0403 char='Ѓ'          addr=0x6A497 CP932=UNENCODABLE
index= 4251 code=U+0405 char='Ѕ'          addr=0x6B2D2 CP932=UNENCODABLE
index= 4252 code=U+0407 char='Ї'          addr=0x6BBC5 CP932=UNENCODABLE
index= 4253 code=U+0409 char='Љ'          addr=0x6C5AC CP932=UNENCODABLE
index= 4254 code=U+040B char='Ћ'          addr=0x6D4BD CP932=UNENCODABLE
index= 4255 code=U+040E char='Ў'          addr=0x6E28E CP932=UNENCODABLE
index= 4289 code=U+0453 char='ѓ'          addr=0x8D0E5 CP932=UNENCODABLE
index= 4290 code=U+0455 char='ѕ'          addr=0x8D81D CP932=UNENCODABLE
index= 4291 code=U+0457 char='ї'          addr=0x8DC6D CP932=UNENCODABLE
index= 4292 code=U+0459 char='љ'          addr=0x8E3C0 CP932=UNENCODABLE
index= 4293 code=U+045B char='ћ'          addr=0x8EC9A CP932=UNENCODABLE
index= 4294 code=U+045E char='ў'          addr=0x8F716 CP932=UNENCODABLE
index= 4295 code=U+0490 char='Ґ'          addr=0x901AB CP932=UNENCODABLE
index= 4297 code=U+2014 char='—'          addr=0x90A8B CP932=UNENCODABLE
index= 4299 code=U+201A char='‚'          addr=0x90CDB CP932=UNENCODABLE
index= 4302 code=U+2022 char='•'          addr=0x91E33 CP932=UNENCODABLE
index= 4305 code=U+2039 char='‹'          addr=0x92F0B CP932=UNENCODABLE
index= 4375 code=U+2661 char='♡'          addr=0xCAEDC CP932=UNENCODABLE
